Theta	Offset	RA-SDSS	DEC-SDSS	PosErr-SDSS	RA-Galaxies	DEC-Galaxies	PosErr-Galaxies
 0.1	0.01	  140.415860	    9.158778	  6.00	  140.415880	    9.158770	  6.00
 0.0	0.00	  224.657720	    6.775158	  6.00	  224.657720	    6.775158	  6.00
 0.0	0.00	  211.380040	   12.446521	  6.00	  211.380040	   12.446530	  6.00
 0.0	0.00	  174.378050	   15.486344	  6.00	  174.378050	   15.486344	  6.00
 0.0	0.00	  241.741460	   10.751174	  6.00	  241.741460	   10.751170	  6.00
 0.0	0.00	  198.296180	    9.679601	  6.00	  198.296180	    9.679600	  6.00
 0.0	0.00	  160.701870	   13.459836	  6.00	  160.701880	   13.459830	  6.00
 0.0	0.00	  120.696430	   13.758649	  6.00	  120.696430	   13.758650	  6.00
 0.1	0.01	  148.902660	    6.819630	  6.00	  148.902650	    6.819640	  6.00
 0.0	0.00	  213.670510	   13.378171	  6.00	  213.670510	   13.378171	  6.00
 0.0	0.00	  131.697050	   13.706803	  6.00	  131.697050	   13.706800	  6.00
 1.0	0.11	  169.161580	   15.727319	  6.00	  169.161780	   15.727500	  6.00
 0.0	0.00	  118.571080	   14.272999	  6.00	  118.571080	   14.273000	  6.00
 0.1	0.01	  210.500530	   10.830599	  6.00	  210.500540	   10.830610	  6.00
 0.2	0.02	  120.984910	    8.699592	  6.00	  120.984920	    8.699640	  6.00
 0.0	0.00	  143.642240	   13.005742	  6.00	  143.642240	   13.005742	  6.00
 0.0	0.00	  240.968570	    8.342565	  6.00	  240.968570	    8.342560	  6.00
 0.6	0.08	  147.527680	   12.813609	  6.00	  147.527500	   12.813640	  6.00
 0.0	0.00	  145.474710	   11.632515	  6.00	  145.474710	   11.632510	  6.00
